Kode Posisi (Abbreviation),SAP Position ID,Position Title,Deskripsi Panjang Jabatan,Kode SATKER,Org. Unit ID,Org. Unit Title,Kode Posisi Superior,SAP Position ID (Superior),Position Superior Title,Kode SATKER Superior,Org. Unit ID Superior,OU Superior Title,
251232100N,10000940,Banko 1 Mine Survey Sub-Section Head,Banko 1 Mine Survey Sub-Section Head,5123,30000456,Banko 1 Mine Survey Sub-Section,251232000N,10000940,#REF!,5123,30000241,Banko 1 Mine Survey Section,
251232110N,10002545,Senior Survey Technician,Senior Survey Technician,5123,30000456,Banko 1 Mine Survey Sub-Section,251232100N,10002545,#REF!,5123,30000456,Banko 1 Mine Survey Sub-Section,
251232110N,10002546,Senior Survey Technician,Senior Survey Technician,5123,30000456,Banko 1 Mine Survey Sub-Section,251232100N,10002546,#REF!,5123,30000456,Banko 1 Mine Survey Sub-Section,
251232110N,10002547,Senior Survey Technician,Senior Survey Technician,5123,30000456,Banko 1 Mine Survey Sub-Section,251232100N,10002547,#REF!,5123,30000456,Banko 1 Mine Survey Sub-Section,
251232110N,10002548,Senior Survey Technician,Senior Survey Technician,5123,30000456,Banko 1 Mine Survey Sub-Section,251232100N,10002548,#REF!,5123,30000456,Banko 1 Mine Survey Sub-Section,
251232110N,10002549,Senior Survey Technician,Senior Survey Technician,5123,30000456,Banko 1 Mine Survey Sub-Section,251232100N,10002549,#REF!,5123,30000456,Banko 1 Mine Survey Sub-Section,
251232120N,10002550,Survey Technician,Survey Technician,5123,30000456,Banko 1 Mine Survey Sub-Section,251232100N,10002550,#REF!,5123,30000456,Banko 1 Mine Survey Sub-Section,
251233000N,10000278,Banko 2 Mine Survey Section Head,Banko 2 Mine Survey Section Head,5123,30000242,Banko 2 Mine Survey Section,251230000N,10000278,#REF!,5123,30000111,Mine Survey Department,
251233010N,10002551,Geodetic Engineer,Geodetic Engineer,5123,30000242,Banko 2 Mine Survey Section,251233000N,10002551,#REF!,5123,30000242,Banko 2 Mine Survey Section,
251233100N,10000941,Banko 2 Mine Survey Sub-Section Head,Banko 2 Mine Survey Sub-Section Head,5123,30000457,Banko 2 Mine Survey Sub-Section,251233000N,10000941,#REF!,5123,30000242,Banko 2 Mine Survey Section,
251233110N,10002552,Senior Survey Technician,Senior Survey Technician,5123,30000457,Banko 2 Mine Survey Sub-Section,251233100N,10002552,#REF!,5123,30000457,Banko 2 Mine Survey Sub-Section,
251233120N,10002553,Survey Technician,Survey Technician,5123,30000457,Banko 2 Mine Survey Sub-Section,251233100N,10002553,#REF!,5123,30000457,Banko 2 Mine Survey Sub-Section,
251234000N,10000280,Supporting Mine Survey Section Head,Supporting Mine Survey Section Head,5123,30000244,Supporting Mine Survey Section,251230000N,10000280,#REF!,5123,30000111,Mine Survey Department,
251234010N,10002554,Geodetic Engineer,Geodetic Engineer,5123,30000244,Supporting Mine Survey Section,251234000N,10002554,#REF!,5123,30000244,Supporting Mine Survey Section,
251234100N,10000942,Mine Development & Infrastructure Survey Sub-Section Head,Mine Development & Infrastructure Survey Sub-Section Head,5123,30000458,Mine Development & Infrastructure Survey Sub-Section,251234000N,10000942,#REF!,5123,30000244,Supporting Mine Survey Section,
251234110N,10002555,Senior Survey Technician,Senior Survey Technician,5123,30000458,Mine Development & Infrastructure Survey Sub-Section,251234100N,10002555,#REF!,5123,30000458,Mine Development & Infrastructure Survey Sub-Section,
251234120N,10002556,Survey Technician,Survey Technician,5123,30000458,Mine Development & Infrastructure Survey Sub-Section,251234100N,10002556,#REF!,5123,30000458,Mine Development & Infrastructure Survey Sub-Section,
251235000N,10000282,Geospatial Information System Section Head,Geospatial Information System Section Head,5123,30000243,Geospatial Information System Section,251230000N,10000282,#REF!,5123,30000111,Mine Survey Department,
251235010N,10002557,Geodetic Engineer,Geodetic Engineer,5123,30000243,Geospatial Information System Section,251235000N,10002557,#REF!,5123,30000243,Geospatial Information System Section,
251235020N,10001681,Mine Survey Data Evaluation Specialist,Mine Survey Data Evaluation Specialist,5123,30000243,Geospatial Information System Section,251235000N,10001681,#REF!,5123,30000243,Geospatial Information System Section,
251235030N,10002148,Mine Survey Data Evaluation Staff,Mine Survey Data Evaluation Staff,5123,30000243,Geospatial Information System Section,251235000N,10002148,#REF!,5123,30000243,Geospatial Information System Section,
251235030N,10002149,Mine Survey Data Evaluation Staff,Mine Survey Data Evaluation Staff,5123,30000243,Geospatial Information System Section,251235000N,10002149,#REF!,5123,30000243,Geospatial Information System Section,
251235040N,10002558,Senior Cartography Technician,Senior Cartography Technician,5123,30000243,Geospatial Information System Section,251235000N,10002558,#REF!,5123,30000243,Geospatial Information System Section,
251235050N,10002559,Cartography Technician,Cartography Technician,5123,30000243,Geospatial Information System Section,251235000N,10002559,#REF!,5123,30000243,Geospatial Information System Section,
252000000N,10002560,Tanjung Enim Mining Site General Manager,Tanjung Enim Mining Site General Manager,5200,30000032,Tanjung Enim Mining Site Division,500,10002560,#REF!,-,30000004,Direktorat Operasi dan Produksi,
252001000N,10001682,Secretary Specialist,Secretary Specialist,5200,30000032,Tanjung Enim Mining Site Division,252000000N,10001682,#REF!,5200,30000032,Tanjung Enim Mining Site Division,
252002000N,10002150,Secretary Staff,Secretary Staff,5200,30000032,Tanjung Enim Mining Site Division,252000000N,10002150,#REF!,5200,30000032,Tanjung Enim Mining Site Division,
252100000N,10000032,Mining Sub-Division Head,Mining Sub-Division Head,5210,30000033,Mining Sub-Division,252000000N,10000032,#REF!,5200,30000032,Tanjung Enim Mining Site Division,
252100100N,10001683,Secretary Specialist,Secretary Specialist,5210,30000033,Mining Sub-Division,252100000N,10001683,#REF!,5210,30000033,Mining Sub-Division,
252100200N,10002151,Secretary Staff,Secretary Staff,5210,30000033,Mining Sub-Division,252100000N,10002151,#REF!,5210,30000033,Mining Sub-Division,
252110000N,10000099,Mining Evaluation & Reporting Department Head,Mining Evaluation & Reporting Department Head,5211,30000112,Mining Evaluation & Reporting Department,252100000N,10000099,#REF!,5210,30000033,Mining Sub-Division,
252110100N,10001684,Administration Specialist,Administration Specialist,5211,30000112,Mining Evaluation & Reporting Department,252110000N,10001684,#REF!,5211,30000112,Mining Evaluation & Reporting Department,
252110200N,10002152,Administration Staff,Administration Staff,5211,30000112,Mining Evaluation & Reporting Department,252110000N,10002152,#REF!,5211,30000112,Mining Evaluation & Reporting Department,
252111000N,10000283,"Mining Administration, Contract & Reporting Section Head","Mining Administration, Contract & Reporting Section Head",5211,30000246,"Mining Administration, Contract & Reporting Section",252110000N,10000283,#REF!,5211,30000112,Mining Evaluation & Reporting Department,
252111100N,10000943,Mining Administration & Contract Sub-Section Head,Mining Administration & Contract Sub-Section Head,5211,30000459,Mining Administration & Contract Sub-Section,252111000N,10000943,#REF!,5211,30000246,"Mining Administration, Contract & Reporting Section",
252111110N,10002153,Mining Administration Staff,Mining Administration Staff,5211,30000459,Mining Administration & Contract Sub-Section,252111100N,10002153,#REF!,5211,30000459,Mining Administration & Contract Sub-Section,
252111120N,10002297,Mining Admin,Mining Admin,5211,30000459,Mining Administration & Contract Sub-Section,252111100N,10002297,#REF!,5211,30000459,Mining Administration & Contract Sub-Section,
252111120N,10002298,Mining Admin,Mining Admin,5211,30000459,Mining Administration & Contract Sub-Section,252111100N,10002298,#REF!,5211,30000459,Mining Administration & Contract Sub-Section,
252111130N,10002299,Administrative/General Support Entry,Administrative/General Support Entry,5211,30000459,Mining Administration & Contract Sub-Section,252111100N,10002299,#REF!,5211,30000459,Mining Administration & Contract Sub-Section,
252111200N,10000944,Mining Reporting Sub-Section Head,Mining Reporting Sub-Section Head,5211,30000460,Mining Reporting Sub-Section,252111000N,10000944,#REF!,5211,30000246,"Mining Administration, Contract & Reporting Section",
252111210N,10002154,Mining Administration Staff,Mining Administration Staff,5211,30000460,Mining Reporting Sub-Section,252111200N,10002154,#REF!,5211,30000460,Mining Reporting Sub-Section,
252111220N,10002300,Mining Admin,Mining Admin,5211,30000460,Mining Reporting Sub-Section,252111200N,10002300,#REF!,5211,30000460,Mining Reporting Sub-Section,
252111230N,10002301,Administrative/General Support Entry,Administrative/General Support Entry,5211,30000460,Mining Reporting Sub-Section,252111200N,10002301,#REF!,5211,30000460,Mining Reporting Sub-Section,
252112000N,10000286,Mining Evaluation & Optimization Section Head,Mining Evaluation & Optimization Section Head,5211,30000247,Mining Evaluation & Optimization Section,252110000N,10000286,#REF!,5211,30000112,Mining Evaluation & Reporting Department,
252112010N,10002561,Mining Engineer,Mining Engineer,5211,30000247,Mining Evaluation & Optimization Section,252112000N,10002561,#REF!,5211,30000247,Mining Evaluation & Optimization Section,
252112020N,10002562,Senior Mining Technician,Senior Mining Technician,5211,30000247,Mining Evaluation & Optimization Section,252112000N,10002562,#REF!,5211,30000247,Mining Evaluation & Optimization Section,
252112100N,10000945,In-House Mining Evaluation & Optimization Sub-Section Head,In-House Mining Evaluation & Optimization Sub-Section Head,5211,30000461,In-House Mining Evaluation & Optimization Sub-Section,252112000N,10000945,#REF!,5211,30000247,Mining Evaluation & Optimization Section,
252112110N,10002155,Mining Evaluation & Optimization Staff,Mining Evaluation & Optimization Staff,5211,30000461,In-House Mining Evaluation & Optimization Sub-Section,252112100N,10002155,#REF!,5211,30000461,In-House Mining Evaluation & Optimization Sub-Section,
252112120N,10002302,Mining Evaluation & Optimization Admin,Mining Evaluation & Optimization Admin,5211,30000461,In-House Mining Evaluation & Optimization Sub-Section,252112100N,10002302,#REF!,5211,30000461,In-House Mining Evaluation & Optimization Sub-Section,
252112200N,10000946,Contractor Mining Evaluation & Optimization Sub-Section Head,Contractor Mining Evaluation & Optimization Sub-Section Head,5211,30000462,Contractor Mining Evaluation & Optimization Sub-Section,252112000N,10000946,#REF!,5211,30000247,Mining Evaluation & Optimization Section,
252112210N,10002156,Mining Evaluation & Optimization Staff,Mining Evaluation & Optimization Staff,5211,30000462,Contractor Mining Evaluation & Optimization Sub-Section,252112200N,10002156,#REF!,5211,30000462,Contractor Mining Evaluation & Optimization Sub-Section,
252112220N,10002303,Mining Evaluation & Optimization Admin,Mining Evaluation & Optimization Admin,5211,30000462,Contractor Mining Evaluation & Optimization Sub-Section,252112200N,10002303,#REF!,5211,30000462,Contractor Mining Evaluation & Optimization Sub-Section,
252113000N,10000289,Mining Information Control Section Head,Mining Information Control Section Head,5211,30000248,Mining Information Control Section,252110000N,10000289,#REF!,5211,30000112,Mining Evaluation & Reporting Department,
252113010N,10002304,Administrative/General Support Entry,Administrative/General Support Entry,5211,30000248,Mining Information Control Section,252113000N,10002304,#REF!,5211,30000248,Mining Information Control Section,
252113100N,10000947,West Block Mining Information Control Operations Group A Sub-Section Head,West Block Mining Information Control Operations Group A Sub-Section Head,5211,30000463,West Block Mining Information Control Operations Group A Sub-Section,252113000N,10000947,#REF!,5211,30000248,Mining Information Control Section,
252113100N,10000948,West Block Mining Information Control Operations Group B Sub-Section Head,West Block Mining Information Control Operations Group B Sub-Section Head,5211,30000464,West Block Mining Information Control Operations Group B Sub-Section,252113000N,10000948,#REF!,5211,30000248,Mining Information Control Section,
252113100N,10000949,West Block Mining Information Control Operations Group C Sub-Section Head,West Block Mining Information Control Operations Group C Sub-Section Head,5211,30000465,West Block Mining Information Control Operations Group C Sub-Section,252113000N,10000949,#REF!,5211,30000248,Mining Information Control Section,
252113100N,10000950,West Block Mining Information Control Operations Group D Sub-Section Head,West Block Mining Information Control Operations Group D Sub-Section Head,5211,30000466,West Block Mining Information Control Operations Group D Sub-Section,252113000N,10000950,#REF!,5211,30000248,Mining Information Control Section,
252113110N,10001685,Mine Control Operation Specialist,Mine Control Operation Specialist,5211,30000463,West Block Mining Information Control Operations Group A Sub-Section,252113100N,10001685,#REF!,5211,30000463,West Block Mining Information Control Operations Group A Sub-Section,
252113120N,10002563,Senior Mine Control Operator,Senior Mine Control Operator,5211,30000463,West Block Mining Information Control Operations Group A Sub-Section,252113100N,10002563,#REF!,5211,30000463,West Block Mining Information Control Operations Group A Sub-Section,
252113130N,10002564,Mine Control Operator,Mine Control Operator,5211,30000463,West Block Mining Information Control Operations Group A Sub-Section,252113100N,10002564,#REF!,5211,30000463,West Block Mining Information Control Operations Group A Sub-Section,
252113140N,10002565,Operations Support Technician Entry,Operations Support Technician Entry,5211,30000463,West Block Mining Information Control Operations Group A Sub-Section,252113100N,10002565,#REF!,5211,30000463,West Block Mining Information Control Operations Group A Sub-Section,
252113200N,10000951,East Block Mining Information Control Operations Group A Sub-Section Head,East Block Mining Information Control Operations Group A Sub-Section Head,5211,30000467,East Block Mining Information Control Operations Group A Sub-Section,252113000N,10000951,#REF!,5211,30000248,Mining Information Control Section,
252113200N,10003536,East Block Mining Information Control Operations Group B Sub-Section Head,East Block Mining Information Control Operations Group B Sub-Section Head,5211,30000468,East Block Mining Information Control Operations Group B Sub-Section,252113000N,10003536,#REF!,5211,30000248,Mining Information Control Section,
252113200N,10003537,East Block Mining Information Control Operations Group C Sub-Section Head,East Block Mining Information Control Operations Group C Sub-Section Head,5211,30000469,East Block Mining Information Control Operations Group C Sub-Section,252113000N,10003537,#REF!,5211,30000248,Mining Information Control Section,
252113200N,10003538,East Block Mining Information Control Operations Group D Sub-Section Head,East Block Mining Information Control Operations Group D Sub-Section Head,5211,30000470,East Block Mining Information Control Operations Group D Sub-Section,252113000N,10003538,#REF!,5211,30000248,Mining Information Control Section,
252113210N,10001686,Mine Control Operation Specialist,Mine Control Operation Specialist,5211,30000467,East Block Mining Information Control Operations Group A Sub-Section,252113200N,10001686,#REF!,5211,30000467,East Block Mining Information Control Operations Group A Sub-Section,
252113220N,10002566,Senior Mine Control Operator,Senior Mine Control Operator,5211,30000467,East Block Mining Information Control Operations Group A Sub-Section,252113200N,10002566,#REF!,5211,30000467,East Block Mining Information Control Operations Group A Sub-Section,
252113230N,10002567,Mine Control Operator,Mine Control Operator,5211,30000467,East Block Mining Information Control Operations Group A Sub-Section,252113200N,10002567,#REF!,5211,30000467,East Block Mining Information Control Operations Group A Sub-Section,
252113240N,10002568,Operations Support Technician Entry,Operations Support Technician Entry,5211,30000467,East Block Mining Information Control Operations Group A Sub-Section,252113200N,10002568,#REF!,5211,30000467,East Block Mining Information Control Operations Group A Sub-Section,
252113300N,10000952,In-House Mining Information Control Operations Group A Sub-Section Head,In-House Mining Information Control Operations Group A Sub-Section Head,5211,30000471,In-House Mining Information Control Operations Group A Sub-Section,252113000N,10000952,#REF!,5211,30000248,Mining Information Control Section,
252113300N,10000953,In-House Mining Information Control Operations Group B Sub-Section Head,In-House Mining Information Control Operations Group B Sub-Section Head,5211,30000472,In-House Mining Information Control Operations Group B Sub-Section,252113000N,10000953,#REF!,5211,30000248,Mining Information Control Section,
252113300N,10003539,In-House Mining Information Control Operations Group C Sub-Section Head,In-House Mining Information Control Operations Group C Sub-Section Head,5211,30000473,In-House Mining Information Control Operations Group C Sub-Section,252113000N,10003539,#REF!,5211,30000248,Mining Information Control Section,
252113300N,10003540,In-House Mining Information Control Operations Group D Sub-Section Head,In-House Mining Information Control Operations Group D Sub-Section Head,5211,30000474,In-House Mining Information Control Operations Group D Sub-Section,252113000N,10003540,#REF!,5211,30000248,Mining Information Control Section,
252113310N,10001687,Mine Control Operation Specialist,Mine Control Operation Specialist,5211,30000471,In-House Mining Information Control Operations Group A Sub-Section,252113300N,10001687,#REF!,5211,30000471,In-House Mining Information Control Operations Group A Sub-Section,
252113320N,10002569,Senior Mine Control Operator,Senior Mine Control Operator,5211,30000471,In-House Mining Information Control Operations Group A Sub-Section,252113300N,10002569,#REF!,5211,30000471,In-House Mining Information Control Operations Group A Sub-Section,
252113330N,10002570,Mine Control Operator,Mine Control Operator,5211,30000471,In-House Mining Information Control Operations Group A Sub-Section,252113300N,10002570,#REF!,5211,30000471,In-House Mining Information Control Operations Group A Sub-Section,
252113340N,10002571,Operations Support Technician Entry,Operations Support Technician Entry,5211,30000471,In-House Mining Information Control Operations Group A Sub-Section,252113300N,10002571,#REF!,5211,30000471,In-House Mining Information Control Operations Group A Sub-Section,
252120000N,10000100,Mining Operations Control & Support Department Head,Mining Operations Control & Support Department Head,5212,30000113,Mining Operations Control & Support Department,252100000N,10000100,#REF!,5210,30000033,Mining Sub-Division,
252120100N,10002572,Senior Mining Operations Control & Support Engineer,Senior Mining Operations Control & Support Engineer,5212,30000113,Mining Operations Control & Support Department,252120000N,10002572,#REF!,5212,30000113,Mining Operations Control & Support Department,
252120200N,10002305,Administrative/General Support Entry,Administrative/General Support Entry,5212,30000113,Mining Operations Control & Support Department,252120000N,10002305,#REF!,5212,30000113,Mining Operations Control & Support Department,
252121000N,10000297,TAL & MTB Mining Operations Control Section Head,TAL & MTB Mining Operations Control Section Head,5212,30000253,TAL & MTB Mining Operations Control Section,252120000N,10000297,#REF!,5212,30000113,Mining Operations Control & Support Department,
252121100N,10000954,TAL Mining Operations Control Sub-Section Head,TAL Mining Operations Control Sub-Section Head,5212,30000475,TAL Mining Operations Control Sub-Section,252121000N,10000954,#REF!,5212,30000253,TAL & MTB Mining Operations Control Section,
252121110N,10002573,Mining Operation Control Engineer,Mining Operation Control Engineer,5212,30000475,TAL Mining Operations Control Sub-Section,252121100N,10002573,#REF!,5212,30000475,TAL Mining Operations Control Sub-Section,
252121120N,10002574,Senior Mining Operation Control Technician,Senior Mining Operation Control Technician,5212,30000475,TAL Mining Operations Control Sub-Section,252121100N,10002574,#REF!,5212,30000475,TAL Mining Operations Control Sub-Section,
252121130N,10002575,Mining Operation Control Technician,Mining Operation Control Technician,5212,30000475,TAL Mining Operations Control Sub-Section,252121100N,10002575,#REF!,5212,30000475,TAL Mining Operations Control Sub-Section,
252121200N,10000955,MTB Mining Operations Control Sub-Section Head,MTB Mining Operations Control Sub-Section Head,5212,30000476,MTB Mining Operations Control Sub-Section,252121000N,10000955,#REF!,5212,30000253,TAL & MTB Mining Operations Control Section,
252121210N,10002576,Mining Operation Control Engineer,Mining Operation Control Engineer,5212,30000476,MTB Mining Operations Control Sub-Section,252121200N,10002576,#REF!,5212,30000476,MTB Mining Operations Control Sub-Section,
252121220N,10002577,Senior Mining Operation Control Technician,Senior Mining Operation Control Technician,5212,30000476,MTB Mining Operations Control Sub-Section,252121200N,10002577,#REF!,5212,30000476,MTB Mining Operations Control Sub-Section,
252121230N,10002578,Mining Operation Control Technician,Mining Operation Control Technician,5212,30000476,MTB Mining Operations Control Sub-Section,252121200N,10002578,#REF!,5212,30000476,MTB Mining Operations Control Sub-Section,
252122000N,10000300,In-House Mining Operations Control Section Head,In-House Mining Operations Control Section Head,5212,30000251,In-House Mining Operations Control Section,252120000N,10000300,#REF!,5212,30000113,Mining Operations Control & Support Department,
252122100N,10000956,In-House Mining Operations Control A Sub-Section Head,In-House Mining Operations Control A Sub-Section Head,5212,30000477,In-House Mining Operations Control A Sub-Section,252122000N,10000956,#REF!,5212,30000251,In-House Mining Operations Control Section,
252122110N,10002579,Mining Operation Control Engineer,Mining Operation Control Engineer,5212,30000477,In-House Mining Operations Control A Sub-Section,252122100N,10002579,#REF!,5212,30000477,In-House Mining Operations Control A Sub-Section,
252122120N,10002580,Senior Mining Operation Control Technician,Senior Mining Operation Control Technician,5212,30000477,In-House Mining Operations Control A Sub-Section,252122100N,10002580,#REF!,5212,30000477,In-House Mining Operations Control A Sub-Section,
252122130N,10002581,Mining Operation Control Technician,Mining Operation Control Technician,5212,30000477,In-House Mining Operations Control A Sub-Section,252122100N,10002581,#REF!,5212,30000477,In-House Mining Operations Control A Sub-Section,
252122200N,10000957,In-House Mining Operations Control B Sub-Section Head,In-House Mining Operations Control B Sub-Section Head,5212,30000478,In-House Mining Operations Control B Sub-Section,252122000N,10000957,#REF!,5212,30000251,In-House Mining Operations Control Section,
252122210N,10002582,Mining Operation Control Engineer,Mining Operation Control Engineer,5212,30000478,In-House Mining Operations Control B Sub-Section,252122200N,10002582,#REF!,5212,30000478,In-House Mining Operations Control B Sub-Section,
252122220N,10002583,Senior Mining Operation Control Technician,Senior Mining Operation Control Technician,5212,30000478,In-House Mining Operations Control B Sub-Section,252122200N,10002583,#REF!,5212,30000478,In-House Mining Operations Control B Sub-Section,
252122230N,10002584,Mining Operation Control Technician,Mining Operation Control Technician,5212,30000478,In-House Mining Operations Control B Sub-Section,252122200N,10002584,#REF!,5212,30000478,In-House Mining Operations Control B Sub-Section,
252123000N,10000303,Banko Mining Operations Control Section Head,Banko Mining Operations Control Section Head,5212,30000249,Banko Mining Operations Control Section,252120000N,10000303,#REF!,5212,30000113,Mining Operations Control & Support Department,
252123100N,10000958,Banko 1 Mining Operations Control Sub-Section Head,Banko 1 Mining Operations Control Sub-Section Head,5212,30000479,Banko 1 Mining Operations Control Sub-Section,252123000N,10000958,#REF!,5212,30000249,Banko Mining Operations Control Section,
252123110N,10002585,Mining Operation Control Engineer,Mining Operation Control Engineer,5212,30000479,Banko 1 Mining Operations Control Sub-Section,252123100N,10002585,#REF!,5212,30000479,Banko 1 Mining Operations Control Sub-Section,
252123120N,10002586,Senior Mining Operation Control Technician,Senior Mining Operation Control Technician,5212,30000479,Banko 1 Mining Operations Control Sub-Section,252123100N,10002586,#REF!,5212,30000479,Banko 1 Mining Operations Control Sub-Section,
252123130N,10002587,Mining Operation Control Technician,Mining Operation Control Technician,5212,30000479,Banko 1 Mining Operations Control Sub-Section,252123100N,10002587,#REF!,5212,30000479,Banko 1 Mining Operations Control Sub-Section,
252123200N,10000959,Banko 2 Mining Operations Control Sub-Section Head,Banko 2 Mining Operations Control Sub-Section Head,5212,30000480,Banko 2 Mining Operations Control Sub-Section,252123000N,10000959,#REF!,5212,30000249,Banko Mining Operations Control Section,
252123210N,10002588,Mining Operation Control Engineer,Mining Operation Control Engineer,5212,30000480,Banko 2 Mining Operations Control Sub-Section,252123200N,10002588,#REF!,5212,30000480,Banko 2 Mining Operations Control Sub-Section,
252123220N,10002589,Senior Mining Operation Control Technician,Senior Mining Operation Control Technician,5212,30000480,Banko 2 Mining Operations Control Sub-Section,252123200N,10002589,#REF!,5212,30000480,Banko 2 Mining Operations Control Sub-Section,
252123230N,10002590,Mining Operation Control Technician,Mining Operation Control Technician,5212,30000480,Banko 2 Mining Operations Control Sub-Section,252123200N,10002590,#REF!,5212,30000480,Banko 2 Mining Operations Control Sub-Section,
252124000N,10000306,In-House Mining Monitoring & Survey Section Head,In-House Mining Monitoring & Survey Section Head,5212,30000250,In-House Mining Monitoring & Survey Section,252120000N,10000306,#REF!,5212,30000113,Mining Operations Control & Support Department,
252124100N,10000960,In-House Mining Monitoring & Survey 1 Sub-Section Head,In-House Mining Monitoring & Survey 1 Sub-Section Head,5212,30000481,In-House Mining Monitoring & Survey 1 Sub-Section,252124000N,10000960,#REF!,5212,30000250,In-House Mining Monitoring & Survey Section,
252124110N,10002591,Mining Monitoring & Survey Engineer,Mining Monitoring & Survey Engineer,5212,30000481,In-House Mining Monitoring & Survey 1 Sub-Section,252124100N,10002591,#REF!,5212,30000481,In-House Mining Monitoring & Survey 1 Sub-Section,
252124120N,10002592,Senior Mining Monitoring & Survey Technician,Senior Mining Monitoring & Survey Technician,5212,30000481,In-House Mining Monitoring & Survey 1 Sub-Section,252124100N,10002592,#REF!,5212,30000481,In-House Mining Monitoring & Survey 1 Sub-Section,
252124130N,10002593,Mining Monitoring & Survey Technician,Mining Monitoring & Survey Technician,5212,30000481,In-House Mining Monitoring & Survey 1 Sub-Section,252124100N,10002593,#REF!,5212,30000481,In-House Mining Monitoring & Survey 1 Sub-Section,
252124200N,10000961,In-House Mining Monitoring & Survey 2 Sub-Section Head,In-House Mining Monitoring & Survey 2 Sub-Section Head,5212,30000482,In-House Mining Monitoring & Survey 2 Sub-Section,252124000N,10000961,#REF!,5212,30000250,In-House Mining Monitoring & Survey Section,
252124210N,10002594,Mining Monitoring & Survey Engineer,Mining Monitoring & Survey Engineer,5212,30000482,In-House Mining Monitoring & Survey 2 Sub-Section,252124200N,10002594,#REF!,5212,30000482,In-House Mining Monitoring & Survey 2 Sub-Section,
252124220N,10002595,Senior Mining Monitoring & Survey Technician,Senior Mining Monitoring & Survey Technician,5212,30000482,In-House Mining Monitoring & Survey 2 Sub-Section,252124200N,10002595,#REF!,5212,30000482,In-House Mining Monitoring & Survey 2 Sub-Section,
252124230N,10002596,Mining Monitoring & Survey Technician,Mining Monitoring & Survey Technician,5212,30000482,In-House Mining Monitoring & Survey 2 Sub-Section,252124200N,10002596,#REF!,5212,30000482,In-House Mining Monitoring & Survey 2 Sub-Section,
252125000N,10000309,In-House Mining SHE Section Head,In-House Mining SHE Section Head,5212,30000252,In-House Mining SHE Section,252120000N,10000309,#REF!,5212,30000113,Mining Operations Control & Support Department,
252125010N,10001688,SHE Evaluation Specialist,SHE Evaluation Specialist,5212,30000252,In-House Mining SHE Section,252125000N,10001688,#REF!,5212,30000252,In-House Mining SHE Section,
252125020N,10002157,SHE Evaluation Staff,SHE Evaluation Staff,5212,30000252,In-House Mining SHE Section,252125000N,10002157,#REF!,5212,30000252,In-House Mining SHE Section,
252125100N,10000962,In-House Mining SHE Group A Sub-Section Head,In-House Mining SHE Group A Sub-Section Head,5212,30000483,In-House Mining SHE Group A Sub-Section,252125000N,10000962,#REF!,5212,30000252,In-House Mining SHE Section,
252125100N,10000963,In-House Mining SHE Group B Sub-Section Head,In-House Mining SHE Group B Sub-Section Head,5212,30000484,In-House Mining SHE Group B Sub-Section,252125000N,10000963,#REF!,5212,30000252,In-House Mining SHE Section,
252125100N,10000964,In-House Mining SHE Group C Sub-Section Head,In-House Mining SHE Group C Sub-Section Head,5212,30000485,In-House Mining SHE Group C Sub-Section,252125000N,10000964,#REF!,5212,30000252,In-House Mining SHE Section,
252125100N,10003541,In-House Mining SHE Group D Sub-Section Head,In-House Mining SHE Group D Sub-Section Head,5212,30000486,In-House Mining SHE Group D Sub-Section,252125000N,10003541,#REF!,5212,30000252,In-House Mining SHE Section,
252125110N,10002158,"Safety, Health & Environment Staff","Safety, Health & Environment Staff",5212,30000483,In-House Mining SHE Group A Sub-Section,252125100N,10002158,#REF!,5212,30000483,In-House Mining SHE Group A Sub-Section,
252125120N,10002597,"Safety, Health & Environment Technician","Safety, Health & Environment Technician",5212,30000483,In-House Mining SHE Group A Sub-Section,252125100N,10002597,#REF!,5212,30000483,In-House Mining SHE Group A Sub-Section,
252130000N,10000101,Air Laya Mining Operations Department Head,Air Laya Mining Operations Department Head,5213,30000114,Air Laya Mining Operations Department,252100000N,10000101,#REF!,5210,30000033,Mining Sub-Division,
252131000N,10000313,Air Laya Mining Operations 1 Section Head,Air Laya Mining Operations 1 Section Head,5213,30000254,Air Laya Mining Operations 1 Section,252130000N,10000313,#REF!,5213,30000114,Air Laya Mining Operations Department,
252131010N,10002306,Administrative/General Support Entry,Administrative/General Support Entry,5213,30000254,Air Laya Mining Operations 1 Section,252131000N,10002306,#REF!,5213,30000254,Air Laya Mining Operations 1 Section,
252131100N,10000965,Air Laya Shovel/Truck Mining Operations 1 Group A Sub-Section Head,Air Laya Shovel/Truck Mining Operations 1 Group A Sub-Section Head,5213,30000487,Air Laya Shovel/Truck Mining Operations 1 Group A Sub-Section,252131000N,10000965,#REF!,5213,30000254,Air Laya Mining Operations 1 Section,
252131100N,10000966,Air Laya Shovel/Truck Mining Operations 1 Group B Sub-Section Head,Air Laya Shovel/Truck Mining Operations 1 Group B Sub-Section Head,5213,30000488,Air Laya Shovel/Truck Mining Operations 1 Group B Sub-Section,252131000N,10000966,#REF!,5213,30000254,Air Laya Mining Operations 1 Section,
252131100N,10000967,Air Laya Shovel/Truck Mining Operations 1 Group C Sub-Section Head,Air Laya Shovel/Truck Mining Operations 1 Group C Sub-Section Head,5213,30000489,Air Laya Shovel/Truck Mining Operations 1 Group C Sub-Section,252131000N,10000967,#REF!,5213,30000254,Air Laya Mining Operations 1 Section,
